left_column,right_column,overlap_rows,pearson_r,spearman_rho,abs_pearson_r,exact_equal_on_overlap,max_abs_diff,mean_abs_diff
retracing_per_utt_severity_z,determiner_errors_per_word_severity_z,360,-0.529661,-0.013399,0.529661,0,93.171527,1.352576
MLU_Morphemes_severity_z,DSS_tbl_IR_severity_z,360,0.527976,0.027777,0.527976,0,9.473611,1.156694
DSS_tbl_score_severity_z,retracing_per_utt_severity_z,360,-0.526891,-0.178584,0.526891,0,46.264147,1.387635
retracing_per_utt_severity_z,severity_structural,360,-0.522674,-0.150094,0.522674,0,43.011472,1.303545
repetition_per_utt_severity_z,pronoun_errors_per_word_severity_z,360,-0.515315,0.002163,0.515315,0,56.709348,1.193789
MLU_Morphemes_severity_z,retracing_per_utt_severity_z,360,-0.510526,-0.216013,0.510526,0,36.108728,1.470727
DSS_tbl_MV_severity_z,retracing_per_utt_severity_z,360,-0.510155,-0.019382,0.510155,0,61.346955,1.370313
VOCD_D_optimum_average_severity_z,repetition_per_utt_severity_z,360,-0.506186,0.086281,0.506186,0,55.591126,1.359225
repetition_per_utt_severity_z,severity_lexical,360,-0.506186,0.086281,0.506186,0,55.591126,1.359225
DSS_tbl_PP_severity_z,rule_generalization_errors_per_word_severity_z,360,0.502211,-0.065606,0.502211,0,7.447433,1.228282
IPSyn_Total_severity_z,rule_generalization_errors_per_word_severity_z,351,0.498884,0.070265,0.498884,0,8.504552,1.170035
DSS_tbl_score_severity_z,DSS_tbl_IP_severity_z,360,0.496195,0.472726,0.496195,0,27.467387,0.882213
severity_disruption,severity_morphosyntax_burden,360,0.492099,0.515567,0.492099,0,35.317876,0.755933
DSS_tbl_WHQ_severity_z,severity_structural,360,0.488385,0.284722,0.488385,0,21.566154,0.979189
severity_disruption,severity_core_composite,360,0.486581,0.308809,0.486581,0,24.833164,0.855355
severity_disruption,severity_domain_composite,360,0.485338,0.556559,0.485338,0,22.604386,0.581721
DSS_tbl_MV_severity_z,DSS_tbl_WHQ_severity_z,360,0.483761,0.247295,0.483761,0,39.901636,1.111655
DSS_tbl_score_severity_z,DSS_tbl_WHQ_severity_z,360,0.482288,0.271142,0.482288,0,24.818828,1.034556
DSS_tbl_WHQ_severity_z,severity_lexical,360,0.477114,0.211480,0.477114,0,21.350926,0.981080
VOCD_D_optimum_average_severity_z,DSS_tbl_WHQ_severity_z,360,0.477114,0.211480,0.477114,0,21.350926,0.981080
DSS_tbl_WHQ_severity_z,severity_domain_composite,360,0.471078,0.256966,0.471078,0,16.513092,0.853013
MLU_Morphemes_severity_z,repetition_per_utt_severity_z,360,-0.469169,-0.080941,0.469169,0,48.903609,1.485310
repetition_per_utt_severity_z,severity_disruption,360,0.467559,0.718247,0.467559,0,28.148905,0.687082
DSS_tbl_IR_severity_z,repetition_per_utt_severity_z,360,-0.466732,-0.005479,0.466732,0,46.635209,1.332299
repetition_per_utt_severity_z,severity_morphosyntax_burden,360,-0.463661,0.096935,0.463661,0,63.466781,1.316530
repetition_per_utt_severity_z,rule_generalization_errors_per_word_severity_z,360,-0.461900,0.089471,0.461900,0,49.625493,1.287302
DSS_tbl_IP_severity_z,severity_structural,360,0.459664,0.446347,0.459664,0,24.214712,0.845381
IPSyn_Total_severity_z,DSS_tbl_WHQ_severity_z,351,0.450801,0.285150,0.450801,0,6.880740,1.016054
retracing_per_utt_severity_z,pronoun_errors_per_word_severity_z,360,-0.450070,0.006828,0.450070,0,43.914467,1.047378
DSS_tbl_IR_severity_z,DSS_tbl_WHQ_severity_z,360,0.448962,0.206051,0.448962,0,12.395009,0.866331
