File_ID,DSS_tbl_source,DSS_tbl_relpath,DSS_tbl_transcript,DSS_tbl_transcript_relpath,DSS_tbl_command,DSS_tbl_score,DSS_tbl_score_is_na,DSS_tbl_warning_50,DSS_tbl_CNJ,DSS_tbl_IP,DSS_tbl_IR,DSS_tbl_MV,DSS_tbl_NG,DSS_tbl_PP,DSS_tbl_S,DSS_tbl_SV,DSS_tbl_TOT,DSS_tbl_WHQ
567,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/567.tbl.cex,phase2/measures/dss/SLI/B/567.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/567.cha,data/annotated/ENNI_batchalign/SLI/B/567.cha,dss +t*CHI +deng.cut +leng,8.26,0,0,117,33,0,90,7,90,45,31,413,0
569,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/569.tbl.cex,phase2/measures/dss/SLI/B/569.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/569.cha,data/annotated/ENNI_batchalign/SLI/B/569.cha,dss +t*CHI +deng.cut +leng,7.48,0,0,97,38,0,91,5,100,41,2,374,0
576,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/576.tbl.cex,phase2/measures/dss/SLI/B/576.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/576.cha,data/annotated/ENNI_batchalign/SLI/B/576.cha,dss +t*CHI +deng.cut +leng,8.48,0,0,86,40,14,105,4,93,42,40,424,0
611,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/611.tbl.cex,phase2/measures/dss/SLI/B/611.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/611.cha,data/annotated/ENNI_batchalign/SLI/B/611.cha,dss +t*CHI +deng.cut +leng,9.06,0,0,104,99,3,97,12,71,48,19,453,0
667,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/667.tbl.cex,phase2/measures/dss/SLI/B/667.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/667.cha,data/annotated/ENNI_batchalign/SLI/B/667.cha,dss +t*CHI +deng.cut +leng,6.28,0,0,65,37,1,90,4,78,30,9,314,0
673,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/673.tbl.cex,phase2/measures/dss/SLI/B/673.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/673.cha,data/annotated/ENNI_batchalign/SLI/B/673.cha,dss +t*CHI +deng.cut +leng,8.52,0,0,152,58,2,99,12,45,41,9,426,8
679,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/679.tbl.cex,phase2/measures/dss/SLI/B/679.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/679.cha,data/annotated/ENNI_batchalign/SLI/B/679.cha,dss +t*CHI +deng.cut +leng,8.46,0,0,120,26,14,107,14,72,43,27,423,0
680,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/680.tbl.cex,phase2/measures/dss/SLI/B/680.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/680.cha,data/annotated/ENNI_batchalign/SLI/B/680.cha,dss +t*CHI +deng.cut +leng,6.67,0,1,45,32,0,63,11,65,40,22,280,2
723,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/723.tbl.cex,phase2/measures/dss/SLI/B/723.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/723.cha,data/annotated/ENNI_batchalign/SLI/B/723.cha,dss +t*CHI +deng.cut +leng,7.50,0,0,96,41,0,108,14,45,47,24,375,0
727,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/727.tbl.cex,phase2/measures/dss/SLI/B/727.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/727.cha,data/annotated/ENNI_batchalign/SLI/B/727.cha,dss +t*CHI +deng.cut +leng,6.08,0,0,64,36,1,74,0,55,37,37,304,0
731,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/731.tbl.cex,phase2/measures/dss/SLI/B/731.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/731.cha,data/annotated/ENNI_batchalign/SLI/B/731.cha,dss +t*CHI +deng.cut +leng,6.68,0,0,129,89,0,68,0,14,17,17,334,0
735,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/735.tbl.cex,phase2/measures/dss/SLI/B/735.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/735.cha,data/annotated/ENNI_batchalign/SLI/B/735.cha,dss +t*CHI +deng.cut +leng,9.16,0,0,98,44,14,134,4,102,46,14,458,2
739,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/739.tbl.cex,phase2/measures/dss/SLI/B/739.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/739.cha,data/annotated/ENNI_batchalign/SLI/B/739.cha,dss +t*CHI +deng.cut +leng,10.20,0,1,160,59,12,124,7,77,41,12,500,8
774,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/774.tbl.cex,phase2/measures/dss/SLI/B/774.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/774.cha,data/annotated/ENNI_batchalign/SLI/B/774.cha,dss +t*CHI +deng.cut +leng,9.82,0,0,146,77,0,136,32,40,43,17,491,0
778,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/778.tbl.cex,phase2/measures/dss/SLI/B/778.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/778.cha,data/annotated/ENNI_batchalign/SLI/B/778.cha,dss +t*CHI +deng.cut +leng,7.82,0,0,87,38,0,96,4,99,38,29,391,0
819,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/819.tbl.cex,phase2/measures/dss/SLI/B/819.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/819.cha,data/annotated/ENNI_batchalign/SLI/B/819.cha,dss +t*CHI +deng.cut +leng,8.30,0,0,155,26,7,83,0,54,46,44,415,0
823,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/B/823.tbl.cex,phase2/measures/dss/SLI/B/823.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/B/823.cha,data/annotated/ENNI_batchalign/SLI/B/823.cha,dss +t*CHI +deng.cut +leng,8.96,0,0,122,49,0,109,7,76,47,32,448,6
